Date,Time,Event,Ticker,Period,Actual,Prior,Surv(M),Surv(A),# Ests.,Surprise,Std Dev,C
12/09/04,21:30,Import Price Index YoY,IMP1YOY% Index,Nov,9.50%,9.70%,8.90%,8.97%,3,6.36,0.09,US
12/09/04,21:30,Initial Jobless Claims,INJCJC Index,Dec-04,357k,349k,335k,335.81k,42,3.63,6.06,US
12/09/04,21:30,Continuing Claims,INJCSP Index,Nov-27,2796k,2723k,2746k,2738.00k,5,1.99,25.08,US
12/09/04,23:00,Wholesale Inventories MoM,MWINCHNG Index,Oct,1.10%,0.50%,0.50%,0.55%,33,3.12,0.19,US
12/10/04,21:30,PPI MoM,PPI CHNG Index,Nov,0.50%,1.70%,0.10%,0.07%,71,1.8,0.22,US
12/10/04,21:30,PPI Ex Food and Energy MoM,PXFECHNG Index,Nov,0.20%,0.30%,0.20%,0.17%,69,0,0.08,US
12/10/04,21:30,PPI YoY,PPI YOY Index,Nov,5.00%,4.40%,4.40%,3.96%,9,0.44,1.35,US
12/10/04,21:30,PPI Ex Food and Energy YoY,PPI XYOY Index,Nov,1.90%,1.80%,1.90%,1.87%,7,0,0.1,US
12/10/04,22:45,U. of Mich. Sentiment,CONSSENT Index,Dec P,95.7,92.8,93.5,93.42,59,1.55,1.42,US
12/11/04,3:00,Monthly Budget Statement,FDDSSD Index,Nov,-$57.9b,-$43.0b,-$54.0b,-$53.62b,33,-1.09,3.57,US
12/13/04,21:30,Retail Sales Advance MoM,RSTAMOM Index,Nov,0.10%,0.20%,-0.10%,-0.10%,61,0.82,0.24,US
12/13/04,21:30,Retail Sales Ex Auto MoM,RSTAXMOM Index,Nov,0.50%,0.90%,0.30%,0.27%,62,0.94,0.21,US
12/13/04,23:00,Business Inventories,MTIBCHNG Index,Oct,0.20%,0.10%,0.50%,0.53%,44,-2.07,0.14,US
12/14/04,21:30,Trade Balance,USTBTOT Index,Oct,-$55.5b,-$51.6b,-$53.0b,-$53.02b,67,-2.02,1.24,US
12/14/04,22:15,Industrial Production MoM,IP CHNG Index,Nov,0.30%,0.70%,0.20%,0.21%,73,0.72,0.14,US
12/14/04,22:15,Capacity Utilization,CPTICHNG Index,Nov,77.60%,77.70%,77.80%,77.77%,63,-1.31,0.15,US
12/15/04,3:15,FOMC Rate Decision (Upper Bound),FDTR Index,Dec-14,2.25%,2.00%,2.25%,2.25%,108,0,0.02,US
12/15/04,7:30,ABC Consumer Confidence,ACNFCOMF Index,Dec-12,-6,-8,--,--,2,--,--,US
12/15/04,7:30,Bloomberg Consumer Comfort,COMFCOMF Index,Dec-12,-6,-8,--,--,2,--,--,US
12/15/04,20:00,MBA Mortgage Applications,MBAVCHNG Index,Dec-10,-1.00%,3.40%,--,--,0,--,--,US
12/15/04,21:30,Empire Manufacturing,EMPRGBCI Index,Dec,29.9,19.8,20,20,45,3.84,2.59,US
12/15/04,22:00,Net Long-term TIC Flows,FRNTTOTL Index,Oct,$48.1b,$63.4b,--,--,0,--,--,US
12/16/04,2:00,NAHB Housing Market Index,USHBMIDX Index,Dec,71,71,70,70.35,17,1.03,0.97,US
12/16/04,21:30,Current Account Balance,USCABAL Index,3Q,-$164.7b,-$166.2b,-$170.6b,-$170.57b,53,2.61,2.26,US
12/16/04,21:30,Housing Starts,NHSPSTOT Index,Nov,1771k,2027k,1980k,1989.76k,63,-5.86,35.64,US
12/16/04,21:30,Building Permits,NHSPATOT Index,Nov,1988k,1984k,2000k,2012.93k,27,-0.34,35.08,US
12/16/04,21:30,Initial Jobless Claims,INJCJC Index,Dec-11,317k,357k,342k,341.72k,36,-4.17,5.88,US
12/16/04,21:30,Continuing Claims,INJCSP Index,Dec-04,2737k,2796k,--,--,1,--,--,US
12/17/04,1:00,Philadelphia Fed Business Outlook,OUTFGAF Index,Dec,29.6,20.7,20.5,20.47,56,3.62,2.51,US
12/17/04,3:00,Minutes of Nov. 10 FOMC Meeting,,,,,,,,,,US
12/17/04,3:00,FOMC Meeting Minutes,FEDMMINU Index,Nov-10,--,--,--,--,0,--,--,US
12/17/04,21:30,CPI MoM,CPI CHNG Index,Nov,0.20%,0.60%,0.20%,0.17%,75,0,0.09,US
12/17/04,21:30,CPI Ex Food and Energy MoM,CPUPXCHG Index,Nov,0.20%,0.20%,0.20%,0.19%,71,0,0.05,US
12/17/04,21:30,CPI YoY,CPI YOY Index,Nov,3.50%,3.20%,3.50%,3.50%,8,0,0.09,US
12/17/04,21:30,CPI Ex Food and Energy YoY,CPI XYOY Index,Nov,2.20%,2.00%,2.20%,2.17%,7,0,0.05,US
12/17/04,21:30,CPI Index NSA,CPURNSA Index,Nov,191,190.9,--,--,2,--,--,US
12/20/04,23:00,Leading Index,LEI CHNG Index,Nov,0.20%,-0.30%,0.10%,0.11%,52,1.27,0.08,US
12/22/04,7:30,ABC Consumer Confidence,ACNFCOMF Index,Dec-19,-5,-6,--,--,2,--,--,US
12/22/04,7:30,Bloomberg Consumer Comfort,COMFCOMF Index,Dec-19,-5,-6,--,--,2,--,--,US
12/22/04,20:00,MBA Mortgage Applications,MBAVCHNG Index,Dec-17,0.00%,-1.00%,--,--,1,--,--,US
12/22/04,21:30,GDP Annualized QoQ,GDP CQOQ Index,3Q F,4.00%,3.90%,3.90%,3.91%,62,1.17,0.09,US
12/22/04,21:30,Personal Consumption,GDPCTOT% Index,3Q F,5.10%,5.10%,5.10%,5.02%,9,0,0.09,US
12/22/04,21:30,GDP Price Deflator,GDP DCHG Index,3Q F,1.40%,1.30%,1.30%,1.30%,49,7.07,0.01,US
12/23/04,21:30,Personal Income,PITLCHNG Index,Nov,0.30%,0.60%,0.20%,0.25%,69,0.96,0.1,US
12/23/04,21:30,Personal Spending,PCE CRCH Index,Nov,0.20%,0.70%,0.30%,0.26%,69,-0.93,0.11,US
12/23/04,21:30,PCE Deflator YoY,PCE DEFY Index,Nov,2.60%,2.40%,2.50%,2.54%,5,2.04,0.05,US
12/23/04,21:30,PCE Core Deflator YoY,PCE CYOY Index,Nov,1.50%,1.50%,1.50%,1.47%,6,0,0.05,US
12/23/04,21:30,Durable Goods Orders,DGNOCHNG Index,Nov,1.60%,-1.10%,0.60%,0.62%,68,1.88,0.53,US
12/23/04,21:30,Durables Ex Transportation,DGNOXTCH Index,Nov,-0.80%,-1.50%,0.80%,0.57%,20,-2.17,0.74,US
12/23/04,21:30,Initial Jobless Claims,INJCJC Index,Dec-18,333k,317k,335k,333.07k,41,-0.35,5.69,US
12/23/04,21:30,Continuing Claims,INJCSP Index,Dec-11,2721k,2737k,2736k,2722.75k,4,-0.45,31.9,US
12/23/04,22:45,U. of Mich. Sentiment,CONSSENT Index,Dec F,97.1,95.7,95.7,95.67,53,2.47,0.57,US
12/23/04,23:00,New Home Sales,NHSLTOT Index,Nov,1125k,1226k,1200k,1204.22k,60,-2.57,29.19,US
12/28/04,23:00,Conf. Board Consumer Confidence,CONCCONF Index,Dec,102.3,90.5,94,94.2,52,6.54,1.27,US
12/29/04,7:30,ABC Consumer Confidence,ACNFCOMF Index,Dec-26,-7,-5,-4,-2.97,3,-1.36,2.21,US
12/29/04,7:30,Bloomberg Consumer Comfort,COMFCOMF Index,Dec-26,-7,-5,-4,-2.97,3,-1.36,2.21,US
12/29/04,20:00,MBA Mortgage Applications,MBAVCHNG Index,Dec-24,-1.70%,0.00%,--,--,0,--,--,US
12/29/04,23:00,One-Family Home Resales,EHSLSL Index,Nov,6.94m,6.75m,6.75m,6.71m,46,1.59,0.12,US
12/30/04,21:30,Initial Jobless Claims,INJCJC Index,Dec-25,326k,333k,335k,332.48k,25,-1.38,6.51,US
12/30/04,21:30,Continuing Claims,INJCSP Index,Dec-18,2755k,2721k,2729k,2723.00k,3,1.54,16.87,US
12/30/04,23:00,Help Wanted Index,LHWANWPA Index,Nov,36,37,37,37.18,11,-1.74,0.57,US
12/30/04,23:00,MNI Chicago PMI,CHPMINDX Index,Dec,61.2,65.2,63,63,50,-0.79,2.29,US
01/03/05,23:00,Construction Spending MoM,CNSTTMOM Index,Nov,-0.40%,0.00%,0.40%,0.34%,50,-2.25,0.35,US
01/03/05,23:00,ISM Manufacturing,NAPMPMI Index,Dec,58.6,57.8,58.5,58.49,66,0.09,1.06,US
01/03/05,23:00,ISM Prices Paid,NAPMPRIC Index,Dec,72,74,72,72.08,24,0,2.2,US
01/04/05,23:00,Factory Orders,TMNOCHNG Index,Nov,1.20%,0.50%,1.00%,0.92%,65,0.68,0.29,US
01/04/05-01/05/05,,Wards Total Vehicle Sales,SAARTOTL Index,Dec,18.40m,16.40m,16.90m,17.01m,26,4.37,0.34,US
01/04/05-01/05/05,,Wards Domestic Vehicle Sales,SAARDTOT Index,Dec,14.70m,12.90m,13.50m,13.54m,32,2.98,0.4,US
01/05/05,3:00,Minutes of Dec. 14 FOMC Meeting,,,,,,,,,,US
01/05/05,3:00,FOMC Meeting Minutes,FEDMMINU Index,Dec-14,--,--,--,--,0,--,--,US
01/05/05,7:30,ABC Consumer Confidence,ACNFCOMF Index,Jan-02,-9,-7,--,--,0,--,--,US
01/05/05,7:30,Bloomberg Consumer Comfort,COMFCOMF Index,Jan-02,-9,-7,--,--,0,--,--,US
01/05/05,20:00,MBA Mortgage Applications,MBAVCHNG Index,Dec-31,-10.60%,-1.70%,--,--,0,--,--,US
01/05/05,23:00,ISM Non-Manufacturing,NAPMNMAN Index,Dec,63.1,61.3,61,60.84,58,1.68,1.25,US
01/05/05,23:09,ISM Teleconf.: December Non-Manufacturing Index,,,,,,,,,,US
01/06/05,21:30,Initial Jobless Claims,INJCJC Index,Jan-01,364k,326k,330k,333.21k,29,6.13,5.55,US
01/06/05,21:30,Continuing Claims,INJCSP Index,Dec-25,2840k,2755k,--,--,2,--,--,US
01/07/05,21:30,Unemployment Rate,USURTOT Index,Dec,5.40%,5.40%,5.40%,5.39%,73,0,0.04,US
01/07/05,21:30,Avg Hourly Earning MOM Prod,USHETOT% Index,Dec,0.10%,0.10%,0.20%,0.24%,56,-1.91,0.05,US
01/07/05,21:30,Avg Hourly Earning YOY Prod,USHEYOY Index,Dec,2.70%,2.40%,--,--,2,--,--,US
01/07/05,21:30,Change in Nonfarm Payrolls,NFP TCH Index,Dec,157k,112k,175k,179.88k,75,-0.52,34.34,US
01/07/05,21:30,Change in Manufact. Payrolls,USMMMNCH Index,Dec,3k,-5k,0k,1.00k,19,0.38,7.91,US
01/07/05,21:30,Avg Weekly Hours Production,USWHTOT Index,Dec,33.8,33.7,33.8,33.8,32,0,0.02,US
01/08/05,4:00,Consumer Credit,CICRTOT Index,Nov,-$8.700b,$7.700b,$6.000b,$5.71b,38,-10.65,1.38,US
01/10/05,23:00,Wholesale Inventories MoM,MWINCHNG Index,Nov,1.10%,1.10%,0.70%,0.71%,28,1.69,0.24,US
01/12/05,7:30,ABC Consumer Confidence,ACNFCOMF Index,Jan-09,-9,-9,-8,-5,3,-0.24,4.24,US
01/12/05,7:30,Bloomberg Consumer Comfort,COMFCOMF Index,Jan-09,-9,-9,-8,-5,3,-0.24,4.24,US
01/12/05,20:00,MBA Mortgage Applications,MBAVCHNG Index,Jan-07,-3.00%,-10.60%,--,--,0,--,--,US
01/12/05,21:30,Trade Balance,USTBTOT Index,Nov,-$60.3b,-$55.5b,-$54.0b,-$53.82b,71,-5.24,1.21,US
01/13/05,3:00,Monthly Budget Statement,FDDSSD Index,Dec,-$3.4b,-$17.6b,$0.0b,-$3.40b,37,-0.45,7.54,US
01/13/05,21:30,Import Price Index MoM,IMP1CHNG Index,Dec,-1.30%,0.20%,-0.30%,-0.44%,41,-2.04,0.49,US
01/13/05,21:30,Import Price Index YoY,IMP1YOY% Index,Dec,6.90%,9.50%,--,--,1,--,--,US
01/13/05,21:30,Retail Sales Advance MoM,RSTAMOM Index,Dec,1.20%,0.10%,1.10%,1.08%,75,0.41,0.37,US
01/13/05,21:30,Retail Sales Ex Auto MoM,RSTAXMOM Index,Dec,0.30%,0.50%,0.40%,0.40%,73,-0.48,0.21,US
01/13/05,21:30,Initial Jobless Claims,INJCJC Index,Jan-08,367k,364k,340k,341.21k,38,2.78,9.71,US
01/13/05,21:30,Continuing Claims,INJCSP Index,Jan-01,2631k,2840k,2775k,2782.00k,5,-6.28,22.93,US
01/14/05,21:30,PPI MoM,PPI CHNG Index,Dec,-0.70%,0.50%,-0.10%,-0.13%,75,-2.95,0.2,US
01/14/05,21:30,PPI Ex Food and Energy MoM,PXFECHNG Index,Dec,0.10%,0.20%,0.20%,0.18%,72,-1.23,0.08,US
01/14/05,21:30,PPI YoY,PPI YOY Index,Dec,4.10%,5.00%,4.70%,4.67%,7,-4.81,0.12,US
01/14/05,21:30,PPI Ex Food and Energy YoY,PPI XYOY Index,Dec,2.20%,1.90%,2.30%,2.32%,6,-2.5,0.04,US
01/14/05,21:30,Business Inventories,MTIBCHNG Index,Nov,1.00%,0.20%,0.60%,0.59%,57,3.11,0.13,US
01/14/05,22:15,Industrial Production MoM,IP CHNG Index,Dec,0.80%,0.30%,0.40%,0.45%,72,2.41,0.17,US
01/14/05,22:15,Capacity Utilization,CPTICHNG Index,Dec,79.20%,77.60%,78.90%,78.90%,70,0.88,0.34,US
01/18/05,21:30,Empire Manufacturing,EMPRGBCI Index,Jan,20.1,29.9,25,25.54,46,-1.34,3.68,US
01/18/05,22:00,Net Long-term TIC Flows,FRNTTOTL Index,Nov,$81.0b,$48.1b,$58.5b,$58.33b,6,1.68,13.36,US
01/19/05,2:00,NAHB Housing Market Index,USHBMIDX Index,Jan,70,71,70,70.2,10,0,0.87,US
01/19/05,7:30,ABC Consumer Confidence,ACNFCOMF Index,Jan-16,-11,-9,-9,-24,3,-0.09,21.92,US
01/19/05,7:30,Bloomberg Consumer Comfort,COMFCOMF Index,Jan-16,-11,-9,-9,-24,3,-0.09,21.92,US
01/19/05,20:00,MBA Mortgage Applications,MBAVCHNG Index,Jan-14,16.20%,-3.00%,--,--,0,--,--,US
01/19/05,21:30,CPI MoM,CPI CHNG Index,Dec,-0.10%,0.20%,0.00%,0.01%,75,-1.02,0.1,US
01/19/05,21:30,CPI Ex Food and Energy MoM,CPUPXCHG Index,Dec,0.20%,0.20%,--,--,0,--,--,US
01/19/05,21:30,CPI YoY,CPI YOY Index,Dec,3.30%,3.50%,3.40%,3.42%,12,-1.25,0.08,US
01/19/05,21:30,CPI Ex Food and Energy YoY,CPI XYOY Index,Dec,2.20%,2.20%,2.30%,2.28%,12,-2.31,0.04,US
01/19/05,21:30,CPI Index NSA,CPURNSA Index,Dec,190.3,191,190.7,190.77,3,-4.24,0.09,US
01/19/05,21:30,Housing Starts,NHSPSTOT Index,Dec,2004k,1771k,1903k,1911.59k,66,2.07,49.02,US
01/19/05,21:30,Building Permits,NHSPATOT Index,Dec,2021k,1988k,1985k,1981.97k,33,0.91,39.75,US
01/19/05,21:30,Initial Jobless Claims,INJCJC Index,Jan-15,319k,367k,345k,343.79k,38,-3.63,7.17,US
01/19/05,21:30,Continuing Claims,INJCSP Index,Jan-08,2694k,2631k,2675k,2676.40k,5,0.33,57.62,US
01/20/05,3:00,Fed's Beige Book,,,,,,,,,,US
01/20/05,23:00,Leading Index,LEI CHNG Index,Dec,0.20%,0.20%,0.20%,0.15%,57,0,0.07,US
01/21/05,1:00,Philadelphia Fed Business Outlook,OUTFGAF Index,Jan,13.2,29.6,25,24.79,56,-4.34,2.72,US
01/21/05,22:45,U. of Mich. Sentiment,CONSSENT Index,Jan P,95.8,97.1,97.5,97.43,61,-1.19,1.43,US
01/25/05,23:00,Conf. Board Consumer Confidence,CONCCONF Index,Jan,103.4,102.3,101,101.13,65,1.66,1.45,US
01/25/05,23:00,One-Family Home Resales,EHSLSL Index,Dec,6.69m,6.94m,6.80m,6.78m,59,-0.83,0.13,US
01/26/05,7:30,ABC Consumer Confidence,ACNFCOMF Index,Jan-24,-8,-11,--,--,1,--,--,US
01/26/05,7:30,Bloomberg Consumer Comfort,COMFCOMF Index,Jan-24,-8,-11,--,--,1,--,--,US
01/26/05,20:00,MBA Mortgage Applications,MBAVCHNG Index,Jan-21,-3.60%,16.20%,--,--,1,--,--,US
01/27/05,21:30,Durable Goods Orders,DGNOCHNG Index,Dec,0.60%,1.40%,0.70%,0.76%,71,-0.12,0.87,US
01/27/05,21:30,Durables Ex Transportation,DGNOXTCH Index,Dec,2.10%,-1.40%,1.30%,1.43%,23,1.18,0.68,US
01/27/05,21:30,Initial Jobless Claims,INJCJC Index,Jan-22,325k,319k,332k,331.83k,41,-1.11,6.3,US
01/27/05,21:30,Continuing Claims,INJCSP Index,Jan-15,2840k,2694k,2683k,2683.60k,5,5.03,31.21,US
01/27/05,23:00,Help Wanted Index,LHWANWPA Index,Dec,38,36,37,36.65,17,1.47,0.68,US
01/28/05,21:30,GDP Annualized QoQ,GDP CQOQ Index,4Q A,3.10%,4.00%,3.50%,3.54%,83,-1.14,0.35,US
01/28/05,21:30,GDP Price Deflator,GDP DCHG Index,4Q A,2.00%,1.40%,2.10%,2.13%,53,-0.3,0.33,US
01/28/05,21:30,Personal Consumption,GDPCTOT% Index,4Q A,4.60%,5.10%,--,--,0,--,--,US
01/28/05,21:30,Employment Cost Index,ECI SA% Index,4Q,0.70%,0.90%,0.80%,0.86%,57,-1.1,0.09,US
01/31/05,21:30,Personal Income,PITLCHNG Index,Dec,3.70%,0.30%,3.40%,3.40%,45,0.4,0.76,US
01/31/05,21:30,Personal Spending,PCE CRCH Index,Dec,0.80%,0.20%,0.80%,0.89%,62,0,0.17,US
01/31/05,21:30,PCE Deflator YoY,PCE DEFY Index,Dec,2.40%,2.60%,2.40%,2.38%,5,0,0.07,US
01/31/05,21:30,PCE Core Deflator YoY,PCE CYOY Index,Dec,1.50%,1.50%,1.50%,1.48%,6,0,0.11,US
01/31/05,23:00,New Home Sales,NHSLTOT Index,Dec,1098k,1125k,1200k,1190.12k,59,-2.54,40.13,US
01/31/05,23:00,MNI Chicago PMI,CHPMINDX Index,Jan,62.4,61.2,59,59.35,56,2.1,1.62,US
02/01/05,23:00,Construction Spending MoM,CNSTTMOM Index,Dec,1.10%,-0.40%,0.50%,0.59%,50,2.79,0.21,US
02/01/05,23:00,ISM Manufacturing,NAPMPMI Index,Jan,56.4,58.6,57,56.81,72,-0.67,0.9,US
02/01/05,23:00,ISM Prices Paid,NAPMPRIC Index,Jan,69,72,71.5,72.34,20,-0.74,3.39,US
02/01/05-02/02/05,,Wards Total Vehicle Sales,SAARTOTL Index,Jan,16.20m,18.40m,16.20m,16.27m,24,0,0.39,US
02/01/05-02/02/05,,Wards Domestic Vehicle Sales,SAARDTOT Index,Jan,13.00m,14.70m,13.05m,13.10m,32,-0.11,0.47,US
02/02/05,7:30,ABC Consumer Confidence,ACNFCOMF Index,Jan-30,-11,-8,--,--,1,--,--,US
02/02/05,7:30,Bloomberg Consumer Comfort,COMFCOMF Index,Jan-30,-11,-8,--,--,1,--,--,US
02/02/05,20:00,MBA Mortgage Applications,MBAVCHNG Index,Feb-28,7.30%,-3.60%,--,--,1,--,--,US
02/03/05,3:15,FOMC Rate Decision (Upper Bound),FDTR Index,Feb-02,2.50%,2.25%,2.50%,2.50%,87,--,0,US
02/03/05,21:30,Nonfarm Productivity,PRODNFR% Index,4Q P,0.80%,1.80%,1.50%,1.55%,68,-1.38,0.51,US
02/03/05,21:30,Unit Labor Costs,COSTNFR% Index,4Q P,2.30%,1.80%,2.00%,2.17%,56,0.57,0.53,US
02/03/05,21:30,Initial Jobless Claims,INJCJC Index,Jan-29,316k,325k,330k,329.67k,43,-1.78,7.88,US
02/03/05,21:30,Continuing Claims,INJCSP Index,Jan-22,2696k,2840k,2765k,2514.17k,6,-0.12,576.8,US
02/03/05,23:00,Factory Orders,TMNOCHNG Index,Dec,0.30%,1.20%,0.60%,0.57%,68,-0.96,0.26,US
02/03/05,23:00,ISM Non-Manufacturing,NAPMNMAN Index,Jan,59.2,63.1,61.5,61.44,65,-2.17,1.06,US
02/04/05,21:30,Unemployment Rate,USURTOT Index,Jan,5.20%,5.40%,5.40%,5.38%,76,-4.91,0.04,US
02/04/05,21:30,Avg Hourly Earning MOM Prod,USHETOT% Index,Jan,0.20%,0.10%,0.20%,0.23%,57,0,0.06,US
02/04/05,21:30,Avg Hourly Earning YOY Prod,USHEYOY Index,Jan,2.60%,2.70%,--,--,0,--,--,US
02/04/05,21:30,Change in Nonfarm Payrolls,NFP TCH Index,Jan,146k,157k,200k,193.28k,78,-1.94,27.89,US
02/04/05,21:30,Change in Manufact. Payrolls,USMMMNCH Index,Jan,-25k,3k,5k,2.94k,17,-3.57,8.4,US
02/04/05,21:30,Avg Weekly Hours Production,USWHTOT Index,Jan,33.7,33.8,33.8,33.81,38,-2.54,0.04,US
02/04/05,22:45,U. of Mich. Sentiment,CONSSENT Index,Jan F,95.5,95.8,96,96.13,57,-1.08,0.46,US
02/08/05,4:00,Consumer Credit,CICRTOT Index,Dec,$3.100b,-$8.700b,$8.000b,$8.67b,43,-1.64,2.99,US
02/09/05,7:30,ABC Consumer Confidence,ACNFCOMF Index,Feb-06,-10,-11,--,--,1,--,--,US
02/09/05,7:30,Bloomberg Consumer Comfort,COMFCOMF Index,Feb-06,-10,-11,--,--,1,--,--,US
02/09/05,20:00,MBA Mortgage Applications,MBAVCHNG Index,Feb-04,4.20%,7.30%,--,--,1,--,--,US
02/09/05,23:00,Wholesale Inventories MoM,MWINCHNG Index,Dec,0.40%,1.10%,0.90%,0.89%,35,-3.23,0.15,US
02/10/05,21:30,Trade Balance,USTBTOT Index,Dec,-$56.4b,-$60.3b,-$57.0b,-$56.92b,71,0.56,1.08,US
02/10/05,21:30,Initial Jobless Claims,INJCJC Index,Feb-05,303k,316k,325k,326.60k,43,-3.31,6.64,US
02/10/05,21:30,Continuing Claims,INJCSP Index,Jan-29,2737k,2696k,2700k,2710.67k,3,2.45,15.08,US
02/11/05,3:00,Monthly Budget Statement,FDDSSD Index,Jan,$8.7b,-$1.4b,$10.0b,$9.31b,37,-0.28,4.59,US
02/15/05,21:30,Empire Manufacturing,EMPRGBCI Index,Feb,19.2,20.1,20,19.49,50,-0.27,3.02,US
02/15/05,21:30,Retail Sales Advance MoM,RSTAMOM Index,Jan,-0.30%,1.20%,-0.40%,-0.46%,77,0.45,0.22,US
02/15/05,21:30,Retail Sales Ex Auto MoM,RSTAXMOM Index,Jan,0.60%,0.30%,0.40%,0.44%,75,1.16,0.17,US
02/15/05,22:00,Net Long-term TIC Flows,FRNTTOTL Index,Dec,$61.3b,$81.0b,$58.5b,$60.50b,6,0.35,7.89,US
02/15/05,23:00,Business Inventories,MTIBCHNG Index,Dec,0.20%,1.00%,0.20%,0.17%,60,0,0.2,US
02/16/05,2:00,NAHB Housing Market Index,USHBMIDX Index,Feb,68,70,69,69.14,14,-1.2,0.83,US
02/16/05,7:30,ABC Consumer Confidence,ACNFCOMF Index,Feb-13,-10,-10,--,--,2,--,--,US
02/16/05,7:30,Bloomberg Consumer Comfort,COMFCOMF Index,Feb-13,-10,-10,--,--,2,--,--,US
02/16/05,20:00,MBA Mortgage Applications,MBAVCHNG Index,Feb-11,-0.50%,4.20%,--,--,0,--,--,US
02/16/05,21:30,Housing Starts,NHSPSTOT Index,Jan,2159k,2004k,1925k,1922.95k,66,5.33,43.87,US
02/16/05,21:30,Building Permits,NHSPATOT Index,Jan,2105k,2021k,2000k,1996.26k,31,3.43,30.57,US
02/16/05,22:15,Industrial Production MoM,IP CHNG Index,Jan,0.00%,0.80%,0.30%,0.28%,74,-1.86,0.16,US
02/16/05,22:15,Capacity Utilization,CPTICHNG Index,Jan,79.00%,79.20%,79.30%,79.31%,65,-2.02,0.15,US
02/16/05,23:00,Greenspan Report on Economy & Fed Policy,,,,,,,,,,US
02/17/05,21:30,Import Price Index MoM,IMP1CHNG Index,Jan,0.90%,-1.30%,0.60%,0.68%,41,0.81,0.37,US
02/17/05,21:30,Import Price Index YoY,IMP1YOY% Index,Jan,6.00%,6.90%,--,--,1,--,--,US
02/17/05,21:30,Initial Jobless Claims,INJCJC Index,Feb-12,302k,303k,315k,315.93k,44,-1.8,7.21,US
02/17/05,21:30,Continuing Claims,INJCSP Index,Feb-05,2717k,2737k,2710k,2708.14k,7,0.27,26.02,US
02/17/05,23:00,Leading Index,LEI CHNG Index,Jan,-0.30%,0.20%,-0.20%,-0.19%,56,-0.87,0.12,US
02/18/05,1:00,Philadelphia Fed Business Outlook,OUTFGAF Index,Feb,23.9,13.2,17,16.79,60,2.56,2.69,US
02/18/05,21:30,PPI MoM,PPI CHNG Index,Jan,0.30%,-0.70%,0.30%,0.26%,74,0,0.18,US
02/18/05,21:30,PPI Ex Food and Energy MoM,PXFECHNG Index,Jan,0.80%,0.10%,0.20%,0.20%,71,6.95,0.09,US
02/18/05,21:30,PPI YoY,PPI YOY Index,Jan,4.20%,4.10%,3.90%,3.91%,8,3.24,0.09,US
02/18/05,21:30,PPI Ex Food and Energy YoY,PPI XYOY Index,Jan,2.70%,2.20%,2.10%,2.06%,8,5.4,0.11,US
02/18/05,22:45,U. of Mich. Sentiment,CONSSENT Index,Feb P,94.2,95.5,95.5,95.44,58,-0.97,1.34,US
02/22/05,23:00,Conf. Board Consumer Confidence,CONCCONF Index,Feb,104,103.4,103,102.98,61,0.65,1.53,US
02/23/05,6:00,ABC Consumer Confidence,ACNFCOMF Index,Feb-20,-11,-10,--,--,1,--,--,US
02/23/05,6:00,Bloomberg Consumer Comfort,COMFCOMF Index,Feb-20,-11,-10,--,--,1,--,--,US
02/23/05,20:00,MBA Mortgage Applications,MBAVCHNG Index,Feb-18,-0.60%,-0.50%,--,--,0,--,--,US
02/23/05,21:30,CPI MoM,CPI CHNG Index,Jan,0.10%,-0.10%,0.20%,0.22%,74,-1.33,0.08,US
02/23/05,21:30,CPI Ex Food and Energy MoM,CPUPXCHG Index,Jan,0.20%,0.20%,0.20%,0.23%,73,0,0.06,US
02/23/05,21:30,CPI YoY,CPI YOY Index,Jan,3.00%,3.30%,3.20%,3.05%,10,-0.52,0.29,US
02/23/05,21:30,CPI Ex Food and Energy YoY,CPI XYOY Index,Jan,2.30%,2.20%,2.30%,2.37%,11,0,0.23,US
02/23/05,21:30,CPI Index NSA,CPURNSA Index,Jan,190.7,190.3,190.9,190.83,3,-2.12,0.09,US
02/24/05,3:00,Minutes of Feb. 2 FOMC Meeting,,,,,,,,,,US
02/24/05,3:00,FOMC Meeting Minutes,FEDMMINU Index,Feb-02,--,--,--,--,0,--,--,US
02/24/05,21:30,Durable Goods Orders,DGNOCHNG Index,Jan,-0.90%,0.60%,0.00%,-0.04%,65,-1.26,0.72,US
02/24/05,21:30,Durables Ex Transportation,DGNOXTCH Index,Jan,0.80%,2.10%,0.30%,0.13%,21,0.58,0.86,US
02/24/05,21:30,Initial Jobless Claims,INJCJC Index,Feb-19,312k,302k,309k,307.26k,35,0.36,8.36,US
02/24/05,21:30,Continuing Claims,INJCSP Index,Feb-12,2650k,2717k,2693k,2689.00k,4,-1.1,38.62,US
02/24/05,23:00,Help Wanted Index,LHWANWPA Index,Jan,41,38,38,38.35,20,4.59,0.65,US
02/25/05,21:30,Personal Consumption,GDPCTOT% Index,4Q P,4.20%,4.60%,--,--,0,--,--,US
02/25/05,21:30,GDP Annualized QoQ,GDP CQOQ Index,4Q P,3.80%,3.10%,3.70%,3.71%,71,0.43,0.23,US
02/25/05,21:30,GDP Price Deflator,GDP DCHG Index,4Q P,2.10%,2.00%,2.00%,2.01%,48,1.96,0.05,US
02/25/05,23:00,One-Family Home Resales,EHSLSL Index,Jan,5.94m,6.69m,6.70m,6.70m,56,-5.81,0.13,US
02/25/05,23:00,Existing Home Sales,ETSLTOTL Index,Jan,6.80m,6.81m,--,--,0,--,--,US
