Date,Time,Event,Ticker,Period,Actual,Prior,SurvM,SurvA,NoEstimates,Surprise,StdDev,C
2006-02-24,21:30:00,Durables Ex Transportation,DGNOXTCH Index,Jan,0.60%,0.90%,0.50%,0.42%,26,0.15,0.65,US
2006-02-27,23:00:00,New Home Sales,NHSLTOT Index,Jan,1233000,1269000,1265000,1271410,56,-0.94,34.20,US
2006-02-28,21:30:00,GDP Annualized QoQ,GDP CQOQ Index,4Q P,1.60%,1.10%,1.60%,1.56%,64,0.00,0.16,US
2006-02-28,21:30:00,Personal Consumption,GDPCTOT% Index,4Q P,1.20%,1.10%,1.30%,1.26%,5,-2.04,0.05,US
2006-02-28,21:30:00,GDP Price Index,GDP PIQQ Index,4Q P,3.30%,3.00%,3.00%,3.01%,43,4.58,0.07,US
2006-02-28,23:00:00,MNI Chicago PMI,CHPMINDX Index,Feb,54.90,58.50,58.50,58.36,49,-2.62,1.38,US
2006-02-28,23:00:00,Conf. Board Consumer Confidence,CONCCONF Index,Feb,101.70,106.30,104.00,104.18,58,-1.44,1.60,US
2006-02-28,23:00:00,Existing Home Sales,ETSLTOTL Index,Jan,6560000,6600000,6600000,6650000,56,-0.26,0.15,US
2006-02-28,23:00:00,Richmond Fed Manufact. Index,RCHSINDX Index,Feb,0.00,-4.00,,,2,,,US
2006-03-01,06:00:00,ABC Consumer Confidence,ACNFCOMF Index,Feb-27,-12.00,-13.00,,,1,,,US
2006-03-01,06:00:00,Bloomberg Consumer Comfort,COMFCOMF Index,Feb-27,-12.00,-13.00,,,1,,,US
2006-03-01,20:00:00,MBA Mortgage Applications,MBAVCHNG Index,Feb-24,-1.20%,0.80%,,,0,,,US
2006-03-01,21:30:00,Personal Income,PITLCHNG Index,Jan,0.70%,0.40%,0.60%,0.61%,58,0.83,0.12,US
2006-03-01,21:30:00,Personal Spending,PCE CRCH Index,Jan,0.90%,0.90%,1.00%,0.96%,60,-0.41,0.24,US
2006-03-01,21:30:00,PCE Deflator YoY,PCE DEFY Index,Jan,3.10%,2.80%,3.10%,3.10%,4,,0.00,US
2006-03-01,21:30:00,PCE Core Deflator MoM,PCE CMOM Index,Jan,0.20%,0.10%,0.20%,0.20%,8,,0.00,US
2006-03-01,21:30:00,PCE Core Deflator YoY,PCE CYOY Index,Jan,1.80%,1.90%,1.80%,1.52%,6,0.00,0.63,US
2006-03-01,23:00:00,Construction Spending MoM,CNSTTMOM Index,Jan,0.20%,1.00%,1.10%,1.24%,40,-1.80,0.50,US
2006-03-01,23:00:00,ISM Manufacturing,NAPMPMI Index,Feb,56.70,54.80,55.50,55.55,66,1.57,0.76,US
2006-03-01,23:00:00,ISM Prices Paid,NAPMPRIC Index,Feb,62.50,65.00,64.00,63.87,13,-0.71,2.12,US
2006-03-01,,Wards Total Vehicle Sales,SAARTOTL Index,Feb,16600000,17630000,16500000,16559999,29,0.42,0.24,US
2006-03-01,,Wards Domestic Vehicle Sales,SAARDTOT Index,Feb,13250000,14060000,13250000,13280000,22,0.00,0.30,US
2006-03-02,21:30:00,Initial Jobless Claims,INJCJC Index,Feb-25,294000,278000,285000,287360,33,1.18,7.60,US
2006-03-02,21:30:00,Continuing Claims,INJCSP Index,Feb-18,2486000,2495000,2450000,2453330,3,0.80,44.97,US
2006-03-03,22:45:00,U. of Mich. Sentiment,CONSSENT Index,Feb F,86.70,87.40,87.50,87.77,58,-1.51,0.53,US
2006-03-03,23:00:00,ISM Non-Manufacturing,NAPMNMAN Index,Feb,60.10,56.80,58.00,58.20,59,1.71,1.23,US
2006-03-06,23:00:00,Factory Orders,TMNOCHNG Index,Jan,-4.50%,1.10%,-5.40%,-5.33%,60,1.45,0.62,US
2006-03-06,23:00:00,Pending Home Sales MoM,USPHTMOM Index,Jan,-1.10%,-3.00%,0.30%,0.14%,8,-1.36,0.99,US
2006-03-07,21:30:00,Nonfarm Productivity,PRODNFR% Index,4Q F,-0.50%,-0.60%,-0.10%,-0.13%,64,-2.61,0.15,US
2006-03-07,21:30:00,Unit Labor Costs,COSTNFR% Index,4Q F,3.30%,3.50%,3.00%,3.05%,57,1.55,0.19,US
2006-03-08,04:00:00,Consumer Credit,CICRTOT Index,Jan,3900000000,3300000000,5000000000,5240000000,32,-0.84,1.30,US
2006-03-08,06:00:00,ABC Consumer Confidence,ACNFCOMF Index,Mar-06,-9.00,-12.00,-12.00,-11.67,3,6.36,0.47,US
2006-03-08,06:00:00,Bloomberg Consumer Comfort,COMFCOMF Index,Mar-06,-9.00,-12.00,-12.00,-11.67,3,6.36,0.47,US
2006-03-08,20:00:00,MBA Mortgage Applications,MBAVCHNG Index,Mar-03,0.70%,-1.20%,,,0,,,US
2006-03-09,21:30:00,Trade Balance,USTBTOT Index,Jan,-68500000000,-65700000000,-66500000000,-66500000000,68,-2.07,0.96,US
2006-03-09,21:30:00,Initial Jobless Claims,INJCJC Index,Mar-04,303000,294000,290000,291680,40,1.72,7.54,US
2006-03-09,21:30:00,Continuing Claims,INJCSP Index,Feb-25,2506000,2486000,2489000,2488750,8,1.42,12.33,US
2006-03-10,21:30:00,Change in Nonfarm Payrolls,NFP TCH Index,Feb,243000,193000,210000,208340,77,0.89,37.12,US
2006-03-10,21:30:00,Unemployment Rate,USURTOT Index,Feb,4.80%,4.70%,4.70%,4.74%,72,1.74,0.06,US
2006-03-10,21:30:00,Change in Manufact. Payrolls,USMMMNCH Index,Feb,-1000,7000,5000,6590,17,-1.46,4.12,US
2006-03-10,21:30:00,Avg Hourly Earning MOM Prod,USHETOT% Index,Feb,0.30%,0.40%,0.30%,0.27%,53,0.00,0.06,US
2006-03-10,21:30:00,Avg Hourly Earning YOY Prod,USHEYOY Index,Feb,3.50%,3.30%,3.30%,3.32%,5,5.00,0.04,US
2006-03-10,21:30:00,Avg Weekly Hours Production,USWHTOT Index,Feb,33.70,33.80,33.80,33.78,36,-2.17,0.05,US
2006-03-10,23:00:00,Wholesale Inventories MoM,MWINCHNG Index,Jan,0.10%,1.00%,0.50%,0.49%,30,-2.93,0.14,US
2006-03-11,03:00:00,Monthly Budget Statement,FDDSSD Index,Feb,-119200000000,-113900000000,-118300000000,-117140000000,30,-0.14,6.60,US
2006-03-14,21:30:00,Current Account Balance,USCABAL Index,4Q,-224900000000,-195800000000,-218000000000,-217510000000,48,-1.62,4.26,US
2006-03-14,21:30:00,Retail Sales Advance MoM,RSTAMOM Index,Feb,-1.30%,2.30%,-0.80%,-0.87%,65,-1.90,0.26,US
2006-03-14,21:30:00,Retail Sales Ex Auto MoM,RSTAXMOM Index,Feb,-0.40%,2.20%,-0.50%,-0.48%,64,0.32,0.32,US
2006-03-14,23:00:00,Business Inventories,MTIBCHNG Index,Jan,0.40%,0.70%,0.30%,0.26%,47,0.67,0.15,US
2006-03-15,06:00:00,ABC Consumer Confidence,ACNFCOMF Index,Mar-13,-8.00,-9.00,,,0,,,US
2006-03-15,06:00:00,Bloomberg Consumer Comfort,COMFCOMF Index,Mar-13,-8.00,-9.00,,,0,,,US
2006-03-15,20:00:00,MBA Mortgage Applications,MBAVCHNG Index,Mar-10,-0.20%,0.70%,,,0,,,US
2006-03-15,21:30:00,Import Price Index MoM,IMP1CHNG Index,Feb,-0.50%,1.30%,-0.60%,-0.50%,40,0.29,0.34,US
2006-03-15,21:30:00,Import Price Index YoY,IMP1YOY% Index,Feb,7.40%,8.80%,,,1,,,US
2006-03-15,21:30:00,Empire Manufacturing,EMPRGBCI Index,Mar,31.20,20.30,18.90,18.50,46,6.12,2.01,US
2006-03-15,22:00:00,Net Long-term TIC Flows,FRNTTOTL Index,Jan,66000000000,56600000000,64800000000,63310000000,7,0.06,19.17,US
2006-03-16,02:00:00,NAHB Housing Market Index,USHBMIDX Index,Mar,55.00,57.00,56.00,56.38,16,-0.76,1.32,US
2006-03-16,03:00:00,Fed's Beige Book,,,,,,,,,,US
2006-03-16,21:30:00,CPI MoM,CPI CHNG Index,Feb,0.10%,0.70%,0.10%,0.08%,68,0.00,0.09,US
2006-03-16,21:30:00,CPI Ex Food and Energy MoM,CPUPXCHG Index,Feb,0.10%,0.20%,0.20%,0.19%,65,-2.27,0.04,US
2006-03-16,21:30:00,CPI YoY,CPI YOY Index,Feb,3.60%,4.00%,3.70%,3.68%,5,-2.50,0.04,US
2006-03-16,21:30:00,CPI Ex Food and Energy YoY,CPI XYOY Index,Feb,2.10%,2.10%,2.10%,2.12%,5,0.00,0.07,US
2006-03-16,21:30:00,CPI Index NSA,CPURNSA Index,Feb,198.70,198.30,198.80,198.83,4,-0.92,0.11,US
2006-03-16,21:30:00,Housing Starts,NHSPSTOT Index,Feb,2120000,2276000,2030000,2035290,59,1.66,54.30,US
2006-03-16,21:30:00,Building Permits,NHSPATOT Index,Feb,2145000,2217000,2110000,2117520,23,0.92,37.88,US
2006-03-16,21:30:00,Initial Jobless Claims,INJCJC Index,Mar-11,309000,303000,298000,299550,31,1.82,6.06,US
2006-03-16,21:30:00,Continuing Claims,INJCSP Index,Mar-04,2445000,2506000,2498000,2490830,6,-4.63,11.33,US
2006-03-17,01:00:00,Philadelphia Fed Business Outlook,OUTFGAF Index,Mar,12.30,15.40,13.50,13.68,48,-0.43,2.78,US
2006-03-17,22:15:00,Industrial Production MoM,IP CHNG Index,Feb,0.70%,-0.20%,0.80%,0.80%,63,-0.45,0.22,US
2006-03-17,22:15:00,Capacity Utilization,CPTICHNG Index,Feb,81.20%,80.90%,81.40%,81.41%,57,-0.82,0.25,US
2006-03-17,22:45:00,U. of Mich. Sentiment,CONSSENT Index,Mar P,86.70,86.70,88.00,88.03,56,-0.97,1.35,US
2006-03-20,23:00:00,Leading Index,LEI CHNG Index,Feb,-0.20%,1.10%,-0.30%,-0.30%,54,0.70,0.14,US
2006-03-21,21:30:00,PPI MoM,PPI CHNG Index,Feb,-1.40%,0.30%,-0.20%,-0.24%,68,-5.30,0.23,US
2006-03-21,21:30:00,PPI Ex Food and Energy MoM,PXFECHNG Index,Feb,0.30%,0.40%,0.10%,0.13%,64,2.41,0.08,US
2006-03-21,21:30:00,PPI YoY,PPI YOY Index,Feb,3.70%,5.70%,4.80%,4.90%,7,-3.48,0.32,US
2006-03-21,21:30:00,PPI Ex Food and Energy YoY,PPI XYOY Index,Feb,1.70%,1.50%,1.60%,1.54%,7,1.37,0.07,US
2006-03-22,06:00:00,ABC Consumer Confidence,ACNFCOMF Index,Mar-20,-8.00,-8.00,-8.00,-9.33,3,0.00,1.89,US
2006-03-22,06:00:00,Bloomberg Consumer Comfort,COMFCOMF Index,Mar-20,-8.00,-8.00,-8.00,-9.33,3,0.00,1.89,US
2006-03-22,20:00:00,MBA Mortgage Applications,MBAVCHNG Index,Mar-17,-1.60%,-0.20%,,,0,,,US
2006-03-23,21:30:00,Initial Jobless Claims,INJCJC Index,Mar-18,302000,309000,305000,306240,37,-0.51,5.85,US
2006-03-23,21:30:00,Continuing Claims,INJCSP Index,Mar-11,2472000,2445000,2475000,2469710,7,-0.17,17.36,US
2006-03-23,23:00:00,Existing Home Sales,ETSLTOTL Index,Feb,6910000,6560000,6500000,6500000,60,4.36,0.09,US
2006-03-24,21:30:00,Durable Goods Orders,DGNOCHNG Index,Feb,2.60%,-10.20%,1.30%,1.47%,70,0.99,1.32,US
2006-03-24,21:30:00,Durables Ex Transportation,DGNOXTCH Index,Feb,-1.30%,0.60%,1.00%,1.10%,30,-3.76,0.61,US
2006-03-24,23:00:00,New Home Sales,NHSLTOT Index,Feb,1080000,1233000,1200000,1207770,61,-5.10,23.52,US
2006-03-28,23:00:00,Conf. Board Consumer Confidence,CONCCONF Index,Mar,107.20,101.70,102.00,101.78,65,6.06,0.86,US
2006-03-28,23:00:00,Richmond Fed Manufact. Index,RCHSINDX Index,Mar,21.00,0.00,4.00,7.33,3,3.13,5.44,US
2006-03-29,03:15:00,FOMC Rate Decision (Upper Bound),FDTR Index,Mar-28,4.75%,4.50%,4.75%,4.75%,106,,0.00,US
2006-03-29,06:00:00,ABC Consumer Confidence,ACNFCOMF Index,Mar-27,-7.00,-8.00,,,1,,,US
2006-03-29,06:00:00,Bloomberg Consumer Comfort,COMFCOMF Index,Mar-27,-7.00,-8.00,,,1,,,US
2006-03-29,20:00:00,MBA Mortgage Applications,MBAVCHNG Index,Mar-24,1.20%,-1.60%,,,0,,,US
2006-03-30,21:30:00,GDP Price Index,GDP PIQQ Index,4Q F,3.50%,3.30%,3.30%,3.29%,45,3.65,0.05,US
2006-03-30,21:30:00,Personal Consumption,GDPCTOT% Index,4Q F,0.90%,1.20%,1.20%,1.20%,3,,0.00,US
2006-03-30,21:30:00,GDP Annualized QoQ,GDP CQOQ Index,4Q F,1.70%,1.60%,1.70%,1.70%,68,0.00,0.09,US
2006-03-30,21:30:00,Initial Jobless Claims,INJCJC Index,Mar-25,302000,302000,305000,303950,37,-0.62,4.84,US
2006-03-30,21:30:00,Continuing Claims,INJCSP Index,Mar-18,2483000,2472000,2475000,2473290,7,0.44,17.98,US
2006-03-30,23:00:00,Help Wanted Index,LHWANWPA Index,Feb,39.00,37.00,38.00,37.79,19,1.12,0.89,US
2006-03-31,21:30:00,Personal Income,PITLCHNG Index,Feb,0.30%,0.70%,0.40%,0.39%,63,-0.82,0.12,US
2006-03-31,21:30:00,Personal Spending,PCE CRCH Index,Feb,0.10%,0.90%,0.00%,0.02%,69,0.73,0.14,US
2006-03-31,21:30:00,PCE Deflator YoY,PCE DEFY Index,Feb,2.90%,3.10%,2.90%,2.93%,8,0.00,0.08,US
2006-03-31,21:30:00,PCE Core Deflator MoM,PCE CMOM Index,Feb,0.10%,0.20%,0.10%,0.13%,16,0.00,0.04,US
2006-03-31,21:30:00,PCE Core Deflator YoY,PCE CYOY Index,Feb,1.80%,1.80%,1.70%,1.72%,10,1.15,0.09,US
2006-03-31,22:45:00,U. of Mich. Sentiment,CONSSENT Index,Mar F,88.90,86.70,86.90,86.89,57,3.07,0.65,US
2006-03-31,23:00:00,MNI Chicago PMI,CHPMINDX Index,Mar,60.40,54.90,57.00,57.11,56,2.14,1.59,US
2006-03-31,23:00:00,Factory Orders,TMNOCHNG Index,Feb,0.20%,-4.50%,1.30%,1.29%,61,-2.63,0.42,US
2006-04-03,22:00:00,Construction Spending MoM,CNSTTMOM Index,Feb,0.80%,0.20%,0.50%,0.52%,42,1.02,0.29,US
2006-04-03,22:00:00,Pending Home Sales MoM,USPHTMOM Index,Feb,-0.80%,-1.10%,-0.50%,-0.70%,14,-0.22,1.38,US
2006-04-03,22:00:00,ISM Manufacturing,NAPMPMI Index,Mar,55.20,56.70,57.70,57.56,65,-1.94,1.29,US
2006-04-03,22:00:00,ISM Prices Paid,NAPMPRIC Index,Mar,66.50,62.50,60.90,60.68,21,3.90,1.44,US
2006-04-03,,Wards Total Vehicle Sales,SAARTOTL Index,Mar,16590000,16600000,16700000,16700000,27,-0.47,0.23,US
2006-04-03,,Wards Domestic Vehicle Sales,SAARDTOT Index,Mar,13090000,13250000,13400000,13360000,26,-1.42,0.22,US
2006-04-05,05:00:00,ABC Consumer Confidence,ACNFCOMF Index,Apr-03,-9.00,-7.00,,,1,,,US
2006-04-05,05:00:00,Bloomberg Consumer Comfort,COMFCOMF Index,Apr-03,-9.00,-7.00,,,1,,,US
2006-04-05,19:00:00,MBA Mortgage Applications,MBAVCHNG Index,Mar-31,7.20%,1.20%,,,0,,,US
2006-04-05,22:00:00,ISM Non-Manufacturing,NAPMNMAN Index,Mar,60.50,60.10,59.00,59.10,62,1.35,1.11,US
2006-04-06,20:30:00,Initial Jobless Claims,INJCJC Index,Apr-01,299000,302000,305000,306080,37,-1.41,4.25,US
2006-04-06,20:30:00,Continuing Claims,INJCSP Index,Mar-25,2440000,2483000,2483000,2483750,4,-3.56,11.92,US
2006-04-07,20:30:00,Change in Nonfarm Payrolls,NFP TCH Index,Mar,211000,243000,190000,193990,77,0.83,25.26,US
2006-04-07,20:30:00,Unemployment Rate,USURTOT Index,Mar,4.70%,4.80%,4.80%,4.77%,73,-1.99,0.05,US
2006-04-07,20:30:00,Change in Manufact. Payrolls,USMMMNCH Index,Mar,-5000,-1000,2000,1810,16,-1.56,4.49,US
2006-04-07,20:30:00,Avg Hourly Earning MOM Prod,USHETOT% Index,Mar,0.20%,0.30%,0.30%,0.28%,56,-2.16,0.05,US
2006-04-07,20:30:00,Avg Hourly Earning YOY Prod,USHEYOY Index,Mar,3.40%,3.50%,3.50%,2.70%,3,-0.08,1.20,US
2006-04-07,20:30:00,Avg Weekly Hours Production,USWHTOT Index,Mar,33.80,33.70,33.80,33.79,37,0.00,0.03,US
2006-04-07,22:00:00,Wholesale Inventories MoM,MWINCHNG Index,Feb,0.80%,0.10%,0.50%,0.43%,35,1.63,0.18,US
2006-04-08,03:00:00,Consumer Credit,CICRTOT Index,Feb,3300000000,3900000000,3000000000,3210000000,29,0.21,1.42,US
2006-04-12,05:00:00,ABC Consumer Confidence,ACNFCOMF Index,Apr-10,-9.00,-9.00,,,0,,,US
2006-04-12,05:00:00,Bloomberg Consumer Comfort,COMFCOMF Index,Apr-10,-9.00,-9.00,,,0,,,US
2006-04-12,19:00:00,MBA Mortgage Applications,MBAVCHNG Index,Apr-07,-5.50%,7.20%,,,0,,,US
2006-04-12,20:30:00,Trade Balance,USTBTOT Index,Feb,-65700000000,-68500000000,-67500000000,-67459999999,64,1.55,1.16,US
2006-04-13,02:00:00,Monthly Budget Statement,FDDSSD Index,Mar,-85500000000,-71200000000,-84100000000,-80270000000,35,-0.19,7.46,US
2006-04-13,20:30:00,Import Price Index MoM,IMP1CHNG Index,Mar,-0.40%,-0.50%,0.20%,0.13%,39,-2.04,0.29,US
2006-04-13,20:30:00,Import Price Index YoY,IMP1YOY% Index,Mar,4.50%,7.40%,5.40%,5.80%,3,-1.14,0.79,US
2006-04-13,20:30:00,Retail Sales Advance MoM,RSTAMOM Index,Mar,0.60%,-1.30%,0.40%,0.38%,67,0.81,0.25,US
2006-04-13,20:30:00,Retail Sales Ex Auto MoM,RSTAXMOM Index,Mar,0.40%,-0.40%,0.50%,0.41%,65,-0.37,0.27,US
2006-04-13,20:30:00,Initial Jobless Claims,INJCJC Index,Apr-08,313000,299000,305000,302230,35,1.35,5.93,US
2006-04-13,20:30:00,Continuing Claims,INJCSP Index,Apr-01,2424000,2440000,2450000,2450140,7,-4.18,6.22,US
2006-04-13,21:45:00,U. of Mich. Sentiment,CONSSENT Index,Apr P,89.20,88.90,89.00,88.88,58,0.15,1.37,US
2006-04-13,22:00:00,Business Inventories,MTIBCHNG Index,Feb,0.00%,0.40%,0.30%,0.29%,49,-2.09,0.14,US
2006-04-14,21:15:00,Industrial Production MoM,IP CHNG Index,Mar,0.60%,0.70%,0.50%,0.46%,68,0.95,0.11,US
2006-04-14,21:15:00,Capacity Utilization,CPTICHNG Index,Mar,81.30%,81.20%,81.40%,81.42%,59,-0.64,0.16,US
2006-04-17,20:30:00,Empire Manufacturing,EMPRGBCI Index,Apr,15.80,31.20,24.30,24.17,39,-3.00,2.83,US
2006-04-17,21:00:00,Net Long-term TIC Flows,FRNTTOTL Index,Feb,86900000000,66000000000,60000000000,61580000000,5,7.16,3.76,US
2006-04-18,01:00:00,NAHB Housing Market Index,USHBMIDX Index,Apr,50.00,55.00,55.00,55.00,18,-5.67,0.88,US
2006-04-18,20:30:00,PPI MoM,PPI CHNG Index,Mar,0.50%,-1.40%,0.40%,0.38%,67,0.42,0.24,US
2006-04-18,20:30:00,PPI Ex Food and Energy MoM,PXFECHNG Index,Mar,0.10%,0.30%,0.20%,0.19%,65,-1.28,0.08,US
2006-04-18,20:30:00,PPI YoY,PPI YOY Index,Mar,3.50%,3.70%,3.50%,3.46%,8,0.00,0.30,US
2006-04-18,20:30:00,PPI Ex Food and Energy YoY,PPI XYOY Index,Mar,1.70%,1.70%,1.70%,1.73%,6,0.00,0.09,US
2006-04-18,20:30:00,Housing Starts,NHSPSTOT Index,Mar,1960000,2120000,2025000,2026600,58,-1.26,51.50,US
2006-04-18,20:30:00,Building Permits,NHSPATOT Index,Mar,2059000,2145000,2100000,2082960,27,-0.66,62.44,US
2006-04-19,02:00:00,Minutes of Mar. 28 FOMC Meeting,,,,,,,,,,US
2006-04-19,02:00:00,FOMC Meeting Minutes,FEDMMINU Index,Mar-28,,,,,0,,,US
2006-04-19,05:00:00,ABC Consumer Confidence,ACNFCOMF Index,Apr-17,-7.00,-9.00,,,1,,,US
2006-04-19,05:00:00,Bloomberg Consumer Comfort,COMFCOMF Index,Apr-17,-7.00,-9.00,,,1,,,US
2006-04-19,19:00:00,MBA Mortgage Applications,MBAVCHNG Index,Apr-14,-1.70%,-5.50%,,,0,,,US
2006-04-19,20:30:00,CPI MoM,CPI CHNG Index,Mar,0.40%,0.10%,0.40%,0.37%,67,0.00,0.11,US
2006-04-19,20:30:00,CPI Ex Food and Energy MoM,CPUPXCHG Index,Mar,0.30%,0.10%,0.20%,0.20%,65,1.96,0.05,US
2006-04-19,20:30:00,CPI YoY,CPI YOY Index,Mar,3.40%,3.60%,3.50%,3.45%,15,-0.98,0.10,US
2006-04-19,20:30:00,CPI Ex Food and Energy YoY,CPI XYOY Index,Mar,2.10%,2.10%,2.00%,1.99%,13,2.11,0.05,US
2006-04-19,20:30:00,CPI Index NSA,CPURNSA Index,Mar,199.80,198.70,199.90,199.92,6,-0.94,0.11,US
2006-04-20,20:30:00,Initial Jobless Claims,INJCJC Index,Apr-15,303000,313000,309000,309820,28,-0.79,6.99,US
2006-04-20,20:30:00,Continuing Claims,INJCSP Index,Apr-08,2439000,2424000,2440000,2443000,3,-0.20,4.97,US
2006-04-20,22:00:00,Leading Index,LEI CHNG Index,Mar,-0.10%,-0.20%,0.00%,0.02%,52,-0.78,0.13,US
2006-04-21,00:00:00,Philadelphia Fed Business Outlook,OUTFGAF Index,Apr,13.20,12.30,14.00,14.03,52,-0.25,3.20,US
2006-04-25,22:00:00,Conf. Board Consumer Confidence,CONCCONF Index,Apr,109.60,107.20,106.20,106.07,62,2.37,1.43,US
2006-04-25,22:00:00,Existing Home Sales,ETSLTOTL Index,Mar,6920000,6910000,6660000,6650000,58,2.19,0.12,US
2006-04-25,22:00:00,Richmond Fed Manufact. Index,RCHSINDX Index,Apr,18.00,21.00,10.00,8.40,5,1.23,6.53,US
2006-04-26,05:00:00,ABC Consumer Confidence,ACNFCOMF Index,Apr-24,-11.00,-7.00,,,1,,,US
2006-04-26,05:00:00,Bloomberg Consumer Comfort,COMFCOMF Index,Apr-24,-11.00,-7.00,,,1,,,US
2006-04-26,19:00:00,MBA Mortgage Applications,MBAVCHNG Index,Apr-21,-3.70%,-1.70%,,,1,,,US
2006-04-26,20:30:00,Durable Goods Orders,DGNOCHNG Index,Mar,6.10%,2.60%,1.80%,1.99%,69,4.01,1.07,US
2006-04-26,20:30:00,Durables Ex Transportation,DGNOXTCH Index,Mar,2.80%,-1.30%,1.00%,0.98%,30,4.39,0.41,US
2006-04-26,22:00:00,New Home Sales,NHSLTOT Index,Mar,1213000,1080000,1110000,1109230,61,3.20,32.21,US
2006-04-27,02:00:00,Fed's Beige Book,,,,,,,,,,US
2006-04-27,20:30:00,Initial Jobless Claims,INJCJC Index,Apr-22,315000,303000,305000,305390,38,2.41,4.15,US
2006-04-27,20:30:00,Continuing Claims,INJCSP Index,Apr-15,2449000,2439000,2440000,2439290,7,1.34,6.69,US
2006-04-27,22:00:00,Help Wanted Index,LHWANWPA Index,Mar,,39.00,40.00,39.47,15,,0.62,US
2006-04-28,20:30:00,GDP Annualized QoQ,GDP CQOQ Index,1Q A,4.80%,1.70%,4.90%,4.93%,76,-0.29,0.35,US
2006-04-28,20:30:00,GDP Price Index,GDP PIQQ Index,1Q A,3.30%,3.50%,2.70%,2.74%,46,1.44,0.42,US
2006-04-28,20:30:00,Personal Consumption,GDPCTOT% Index,1Q A,5.50%,0.90%,5.00%,5.06%,8,2.78,0.18,US
2006-04-28,20:30:00,Employment Cost Index,ECI SA% Index,1Q,0.60%,0.80%,0.09%,0.09%,0,,,US
2006-04-28,21:45:00,U. of Mich. Sentiment,CONSSENT Index,Apr F,87.40,89.20,89.00,88.84,58,-2.18,0.73,US
2006-04-28,22:00:00,MNI Chicago PMI,CHPMINDX Index,Apr,57.20,60.40,58.00,58.24,59,-0.61,1.31,US
2006-05-01,20:30:00,Personal Income,PITLCHNG Index,Mar,0.50%,0.30%,0.40%,0.40%,57,1.40,0.07,US
2006-05-01,20:30:00,Personal Spending,PCE CRCH Index,Mar,0.60%,0.10%,0.40%,0.43%,58,1.90,0.11,US
2006-05-01,20:30:00,PCE Deflator YoY,PCE DEFY Index,Mar,2.90%,2.90%,2.90%,2.88%,8,0.00,0.08,US
2006-05-01,20:30:00,PCE Core Deflator MoM,PCE CMOM Index,Mar,0.30%,0.10%,0.20%,0.23%,22,2.15,0.05,US
2006-05-01,20:30:00,PCE Core Deflator YoY,PCE CYOY Index,Mar,2.00%,1.80%,1.90%,1.88%,12,2.68,0.04,US
2006-05-01,22:00:00,Construction Spending MoM,CNSTTMOM Index,Mar,0.90%,0.80%,0.40%,0.39%,40,2.29,0.22,US
2006-05-01,22:00:00,ISM Manufacturing,NAPMPMI Index,Apr,57.30,55.20,55.00,55.18,69,2.53,0.91,US
2006-05-01,22:00:00,ISM Prices Paid,NAPMPRIC Index,Apr,71.50,66.50,70.00,69.61,18,0.47,3.17,US
2006-05-02,22:00:00,Pending Home Sales MoM,USPHTMOM Index,Mar,-1.20%,-0.80%,-0.50%,-0.48%,13,-1.20,0.58,US
2006-05-02,,Wards Total Vehicle Sales,SAARTOTL Index,Apr,16739999,16590000,16600000,16620000,26,0.69,0.20,US
2006-05-02,,Wards Domestic Vehicle Sales,SAARDTOT Index,Apr,12960000,13090000,13300000,13240000,24,-2.05,0.17,US
2006-05-03,05:00:00,ABC Consumer Confidence,ACNFCOMF Index,May-01,-13.00,-11.00,,,1,,,US
2006-05-03,05:00:00,Bloomberg Consumer Comfort,COMFCOMF Index,May-01,-13.00,-11.00,,,1,,,US
2006-05-03,19:00:00,MBA Mortgage Applications,MBAVCHNG Index,Apr-28,8.80%,-3.70%,,,0,,,US
2006-05-03,22:00:00,Factory Orders,TMNOCHNG Index,Mar,4.20%,0.20%,3.70%,3.50%,61,0.63,0.87,US
2006-05-03,22:00:00,ISM Non-Manufacturing,NAPMNMAN Index,Apr,63.00,60.50,59.40,59.39,61,3.76,0.96,US
2006-05-04,20:30:00,Nonfarm Productivity,PRODNFR% Index,1Q P,3.20%,-0.50%,3.00%,2.89%,57,0.41,0.61,US
2006-05-04,20:30:00,Unit Labor Costs,COSTNFR% Index,1Q P,2.50%,3.30%,1.20%,1.29%,51,2.05,0.63,US
2006-05-04,20:30:00,Initial Jobless Claims,INJCJC Index,Apr-29,322000,315000,310000,312100,29,2.23,5.37,US
2006-05-04,20:30:00,Continuing Claims,INJCSP Index,Apr-22,2462000,2449000,2450000,2444330,3,1.50,8.01,US
2006-05-05,20:30:00,Change in Nonfarm Payrolls,NFP TCH Index,Apr,138000,211000,200000,201610,74,-3.33,18.63,US
2006-05-05,20:30:00,Unemployment Rate,USURTOT Index,Apr,4.70%,4.70%,4.70%,4.67%,71,0.00,0.05,US
2006-05-05,20:30:00,Change in Manufact. Payrolls,USMMMNCH Index,Apr,19000,-5000,0,250,12,6.21,3.06,US
2006-05-05,20:30:00,Avg Hourly Earning MOM Prod,USHETOT% Index,Apr,0.50%,0.20%,0.30%,0.29%,54,4.81,0.04,US
2006-05-05,20:30:00,Avg Hourly Earning YOY Prod,USHEYOY Index,Apr,3.80%,3.40%,,,1,,,US
2006-05-05,20:30:00,Avg Weekly Hours Production,USWHTOT Index,Apr,33.90,33.80,33.80,33.80,33,4.06,0.02,US
